Category	Icon	Colour	Name	Source type	Source name	Overview pin	Zones	Requirements	Requires flying?	Added in	Projected popularity	Comments	Pins	Areas	See also
Cloth	Embersilk Cloth	#FFC687													
			Bolt of Embersilk Cloth												
				Crafted	Bolt of Embersilk Cloth	~	~	Tailoring	FALSE	Phase 1	0	5 Embersilk Cloth per Bolt			Cloth, Embersilk Cloth
			Dreamcloth												
				Crafted	Dream of Destruction	~	~	Tailoring, Group	FALSE	Phase 1	0	Uniquely this pattern has no cooldown, but requires 5 (4 if in post-4.3 state) Chaos Orbs instead of Volatile elements.			Cloth, Bolt of Embersilk Cloth; Other, Chaos Orb
				Crafted	Dream of non-Destruction	~	~	Tailoring	FALSE	Phase 1	0	Each pattern has a 7 day cooldown, requires 30 of one Volatile element, and produces one Dreamcloth.			Cloth, Bolt of Embersilk Cloth; Elemental, Volatile Air; Elemental, Volatile Earth; Elemental, Volatile Fire; Elemental, Volatile Life; Elemental, Volatile Water
			Embersilk Cloth												
				Drop	Virtually any humanoid / undead in Cataclysm zones	~	Any	~	FALSE	Phase 1	0	Pick any target you can comfortably kill and go to town. Highly skilled Tailors can learn to scavenge significantly more cloth when they loot a monster.			
				Container	Tiny Treasure Chest	~	Any	~	FALSE	Phase 1	0	After using a Potion of Treasure Finding, drops from any Cataclysm mob that drops loot. The drop chance for a chest seems to be around 5% per kill. This is a decent source of cloth, while giving only trace amounts of ore and Volatiles. Thus, you should research whether the potion generates enough value to be worth its own cost, and use it when already farming something else by kills.			
				Fished	Sealed Crate: Tol Barad	67.9, 53.2	Tol Barad Peninsula	Fishing	FALSE	Phase 1	2	Fished from Shipwreck Debris. Contains primarily cloth and a smattering of other goodies. Beware unpleasant members of the other faction. Can only be fished on the Peninsula, the northern contested area.			
				Fished	Sealed Crate: Darkmoon Island	~	Darkmoon Island	Fishing	FALSE	Phase 1	2	Fished from Shipwreck Debris. Contains primarily cloth and a smattering of other goodies. The Darkmoon Island's crates have a different drop table with more faire food. The pools can also contain mounts, so beware competition.			
Elemental	Volatile Fire	#FF0000													
			Volatile Air												
				Drop	Vortex Pinnacle trash	19.5, 95.6	Vortex Pinnacle	Group	FALSE	Phase 1	0	A little bonus during regular runs, but also farmable on normal. To farm Air, clear trash up to Altairus (you may also kill the dragon for a chance at the mount, even on normal) and hop off the edge to go safely back to the entrance, then go out and reset.			
				Drop	Hive Queen's Honeycomb	78.6, 87.4	Zul'Gurub	Group	FALSE	Phase 2	0	Dropped by the Florawing Hive Queen at the base of the waterfall in the instance's northwest corner. Immediately turn left at the entrance as if heading to Zanzil. She drops one Honeycomb for the group to share, but can be soloed with some effort by some classes. It contains 4-6 each of Twilight Jasmine, Volatile Air, and Volatile Life. You can reset and go again if no actual bosses have been killed, however the Honeycomb was made a secret daily reward at some point and may still be so.	31.5, 39.0		
				Drop	Enslaved Tempest	87.2, 59.2	Twilight Highlands	~	FALSE	Phase 1	2	They are high level and spread around an endgame cultist camp, but have decent drop rates of Volatile Air at 0.28 per kill. This is the best you get outside of dungeons.		35.6, 67.2; 37.2, 74.6; 31.2, 71.0|44.6, 80.2; 44.8, 84.8; 39.0, 89.2; 38.2, 84.6	
				Container	Tiny Treasure Chest	~	Any	~	FALSE	Phase 1	0	After using a Potion of Treasure Finding, drops from any Cataclysm mob that drops loot. The drop chance for a chest seems to be around 5% per kill. This is a decent source of cloth, while giving only trace amounts of ore and Volatiles. Thus, you should research whether the potion generates enough value to be worth its own cost, and use it when already farming something else.			
				Drop	Sweeping Winds	19.0, 89.4	Uldum	~	FALSE	Phase 1	2	While they were patched in during 4.0.3 as a farmable source of Volatile Air, they still only drop 0.18 Air per kill and are actually slightly tougher than Scions of Al'Akir. Combined, the two make an okay farming spot with no irrelevant mobs around.		36.6, 39.0; 35.8, 47.6; 38.6, 49.6; 43.0, 43.2; 46.0, 51.2; 41.8, 51.6; 37.0, 56.4; 32.8, 56.0; 28.8, 49.2	Elemental, Volatile Air, Scion of Al'Akir
				Drop	Scion of Al'Akir	19.0, 89.4	Uldum	~	FALSE	Phase 1	4	This mob and by extension all the Volatile Air farms being terrible is actually the reason this guide exists. I once thought they were the only open world mob to drop Air. While not true, it's not much better. These guys drop 0.18 Air per kill and require six kills for a mandatory quest. Probably best combined with the Sweeping Winds around them.		39.6, 36.2; 44.4, 36.8; 42.8, 42.2; 40.8, 45.0; 38.6, 47.0; 37.0, 44.8; 37.0, 43.2	Elemental, Volatile Air, Sweeping Winds
				Drop	Storm Vortex	88.2, 55.8	Twilight Highlands	~	FALSE	Phase 1	2	Plausible Hyperspawn. Higher level than Howling Riftdwellers and have slightly better drop rate at 0.18 Air per kill, but high level, also mixed with cultists, and quest-relevant.		42.4, 47.2; 41.2, 50.0; 37.4, 47.6; 37.8, 45.6; 39.8, 43.4; 41.8, 44.4	
				Drop	Howling Riftdweller	23.1, 41.5	Mount Hyjal	~	FALSE	Phase 1	2	Plausible Hyperspawn. Drop rate for Air is very bad at approximately 0.135 Air per kill, they are spread along the ridge alongside cultists, and they must be killed for a quest (though there are many more than needed for the quest.)		22.6, 32.2; 26.6, 38.6; 34.2, 38.6; 31.6, 41.8; 25.2, 43.0	
				Crafted	Transmute: Living Elements	~	Transmutation with CD	Alchemy	FALSE	Phase 1	0	Transmutes 15 Volatile Life into 14-16 of a "random" element. The element choice can be forced by being in a specific zone: Vashj'ir for Water, Mount Hyjal for Fire, Deepholm for Earth, and Uldum for Air. Alchemists specialised in Transmutation may receive extra Volatiles, which are always random. Shares cooldown with transmuting Pyrite and Truegold, so make sure to research how to best use your daily cooldown.			
				Skinned	Strange Bloated Stomach	~	Any	Mining	FALSE	Phase 1	0	Rarely is skinned from Cataclysm mobs. Drops 1-2 Air, Earth, Fire, Life, or Water. If you have an Electrostatic Condenser in your inventory, you always receive an additional 1-2 Air (only fair, given the Stomach is a rare drop to begin with.)			Elemental, Volatile Air, Electrostatic Condenser
				Drop	Electrostatic Condenser	~	Any	Engineering	FALSE	Phase 1	0	If you have a Condenser in your inventory with good Engineering skill, you gain around a 2% chance to get 1-2 Volatile Air as an additional drop whenever you mine, skin, or herb something. While it's free stuff, it's incredibly marginal and requires you to be an engineer and gatherer. If you are, go craft one, but don't pick up Engineering on all your alts just for this.			Metal; Herb; Leather
				Fished	Sealed Crate: Tol Barad	67.9, 53.2	Tol Barad Peninsula	Fishing	FALSE	Phase 1	2	Fished from Shipwreck Debris. Contains primarily cloth and a smattering of other goodies. Beware unpleasant members of the other faction. Can only be fished on the Peninsula, the northern contested area.			
				Fished	Sealed Crate: Darkmoon Island	~	Darkmoon Island	Fishing	FALSE	Phase 1	2	Fished from Shipwreck Debris. Contains primarily cloth and a smattering of other goodies. The Darkmoon Island's crates have a different drop table with more faire food. The pools can also contain mounts, so beware competition.			
			Volatile Earth												
				Drop	Tor-Tun	78.6, 87.4	Zul'Gurub	Group	FALSE	Phase 2	0	Reportedly, Tor-Tun can be struck by frost cauldrons multiple times, making them simple to kill or even solo. They drop an average of 6 Earth, but you should bring a skinner if possible as they have very valuable skin. You can reset and go again if no actual bosses have been killed.	46.0, 55.6		
				Mined	Any ore deposit	~	Any	Mining	FALSE	Phase 1	3	Simply mining deposits has a very high chance of getting Volatiles. Rich Obsidium Deposits drop more Earth, but any vein is good.			Metal
				Drop	Obsidium Punisher	23.3, 43.8	Molten Front	~	FALSE	Phase 3	1	They are not directly relevant for any quest and are usually seen as more of an annoyance while questing. Requires that you have unlocked the Molten Front, but features a decent 0.28 Earth per kill, 0.25 Earth when mined, and a chance of Elementium Ore.		18.0, 36.8; 19.2, 47.6; 18.0, 46.2; 16.8, 43.0; 17.0, 39.6|23.4, 28.0; 27.4, 27.0; 32.8, 33.6; 27.0, 40.6; 23.6, 32.2|32.0, 42.2; 31.6, 51.0; 29.6, 52.8; 25.4, 52.0; 30.2, 50.4	
				Prospected	Pyrite Ore	~	~	~	FALSE	Phase 1	0	Probably not why you are prospecting it, but a handy bonus of an average of 2 Earth per prospect.			
				Mined	Any minable NPC	~	Any	Mining	FALSE	Phase 1	1	Almost every mob that can be mined for Earth is located in Deepholm. See Drop sources for notable mobs that also drop it.			
				Drop	Scalding Rock Elemental	23.8, 38.0	Mount Hyjal	~	FALSE	Phase 1	3	Extremely plentiful and right next to the portal exit. This makes up for their terrible drop rate of 0.15 Earth per kill and mining for a slight chance of one more, but you'll also have to contend with other farmers and jewelcrafters trying to complete their dailies.		58.4, 22.4; 61.8, 20.4; 60.2, 22.4|64.6, 19.6; 66.0, 19.0; 68.6, 23.8; 68.4, 26.6; 64.6, 25.8	
				Container	Tiny Treasure Chest	~	Any	~	FALSE	Phase 1	0	After using a Potion of Treasure Finding, drops from any Cataclysm mob that drops loot. The drop chance for a chest seems to be around 5% per kill. This is a decent source of cloth, while giving only trace amounts of ore and Volatiles. Thus, you should research whether the potion generates enough value to be worth its own cost, and use it when already farming something else.			
				Drop	Obsidian Stoneslave	88.6, 56.7	Twilight Highlands	~	FALSE	Phase 1	2	Around 0.2 Earth per kill plus being minable for another 0.2 and a slight chance of Elementium Ore. Decent drops, but quest-relevant and their rupture line ability deals a lot of damage if you are not paying attention.		57.6, 26.6; 61.4, 31.0; 60.6, 34.6; 56.4, 32.6; 54.8, 30.6; 55.8, 27.2	
				Drop	Lava Surger	23.7, 40.6	Mount Hyjal	~	FALSE	Phase 1	1	Only 0.15 Earth per kill, but can be mined for a slight chance of more. Not visible if you complete the quests in their area.		27.4, 51.6; 30.6, 51.0; 32.6, 52.4; 29.0, 56.6|33.8, 52.8; 36.6, 51.0; 40.2, 52.8; 42.2, 55.8; 41.8, 60.6; 39.6, 61.8; 35.8, 59.2; 33.8, 65.0; 32.0, 60.4, 33.6, 58.0	
				Drop	Molten Tormentor	22.8, 39.3	Mount Hyjal	~	FALSE	Phase 1	2	Hidden in an unmountable cave, quest relevant, and cannot be mined for extra drops, while also dropping only around 0.15 Earth per kill.		62.4, 51.2; 63.8, 52.8; 63.6, 53.8; 61.4, 57.4|64.2, 58.6; 65.6, 57.2; 65.6, 59.6; 63.6, 62.2	
				Crafted	Transmute: Living Elements	~	Transmutation with CD	Alchemy	FALSE	Phase 1	0	Transmutes 15 Volatile Life into 14-16 of a "random" element. The element choice can be forced by being in a specific zone: Vashj'ir for Water, Mount Hyjal for Fire, Deepholm for Earth, and Uldum for Air. Alchemists specialised in Transmutation may receive extra Volatiles, which are always random. Shares cooldown with transmuting Pyrite and Truegold, so make sure to research how to best use your daily cooldown.			
				Skinned	Strange Bloated Stomach	~	Any	Mining	FALSE	Phase 1	0	Rarely is skinned from Cataclysm mobs. Drops 1-2 Air, Earth, Fire, Life, or Water. If you have an Electrostatic Condenser in your inventory, you always receive an additional 1-2 Air (only fair, given the Stomach is a rare drop to begin with.)			Elemental, Volatile Air, Electrostatic Condenser
				Fished	Sealed Crate: Tol Barad	67.9, 53.2	Tol Barad Peninsula	Fishing	FALSE	Phase 1	2	Fished from Shipwreck Debris. Contains primarily cloth and a smattering of other goodies. Beware unpleasant members of the other faction. Can only be fished on the Peninsula, the northern contested area.			
				Fished	Sealed Crate: Darkmoon Island	~	Darkmoon Island	Fishing	FALSE	Phase 1	2	Fished from Shipwreck Debris. Contains primarily cloth and a smattering of other goodies. The Darkmoon Island's crates have a different drop table with more faire food. The pools can also contain mounts, so beware competition.			
			Volatile Fire												
